"id","title","category","description","backgroundColor","coverImage","episode","youtubeId","availableLanguages"
"illit-dothedance","ILLIT, 빌려온 고양이 (Do the Dance) | MyK FESTA | MyK LIVE KPOP","2025 ALL KPOP","ILLIT, 빌려온 고양이 (Do the Dance) | MyK FESTA | MyK LIVE KPOP","#4b9cf5","http://img.youtube.com/vi/D6EaJTkVsFQ/hqdefault.jpg","Myk LIVE KPOP","D6EaJTkVsFQ","[""ko"", ""en""]"
"test","AAA","2025 ALL KPOP","ILLIT, 빌려온 고양이 (Do the Dance) | MyK FESTA | MyK LIVE KPOP","#4b9cf5","http://img.youtube.com/vi/D6EaJTkVsFQ/hqdefault.jpg","Myk LIVE KPOP","D6EaJTkVsFQ","[""ko"", ""en""]"
